I (3053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (74453) FLEX_DFPLAYER: Thumb: 0 | Index: 2772 | Middle: 0 | Ring: 0 | Pinky: 0
I (74753) FLEX_DFPLAYER: Thumb: 0 | Index: 2825 | Middle: 0 | Ring: 0 | Pinky: 0
I (75053) FLEX_DFPLAYER: Thumb: 0 | Index: 2759 | Middle: 0 | Ring: 0 | Pinky: 0
I (75353) FLEX_DFPLAYER: Thumb: 0 | Index: 2733 | Middle: 0 | Ring: 0 | Pinky: 0
I (75653) FLEX_DFPLAYER: Thumb: 0 | Index: 2672 | Middle: 0 | Ring: 0 | Pinky: 0
I (75953) FLEX_DFPLAYER: Thumb: 0 | Index: 2641 | Middle: 0 | Ring: 0 | Pinky: 0
I (76253) FLEX_DFPLAYER: Thumb: 0 | Index: 2601 | Middle: 0 | Ring: 0 | Pinky: 0
I (76553) FLEX_DFPLAYER: Thumb: 0 | Index: 2723 | Middle: 0 | Ring: 0 | Pinky: 0
I (76853) FLEX_DFPLAYER: Thumb: 0 | Index: 2764 | Middle: 0 | Ring: 0 | Pinky: 0
I (77153) FLEX_DFPLAYER: Thumb: 0 | Index: 2769 | Middle: 0 | Ring: 0 | Pinky: 0
I (77453) FLEX_DFPLAYER: Thumb: 0 | Index: 2897 | Middle: 0 | Ring: 0 | Pinky: 0
I (77753) FLEX_DFPLAYER: Thumb: 0 | Index: 2778 | Middle: 0 | Ring: 0 | Pinky: 0
I (78053) FLEX_DFPLAYER: Thumb: 0 | Index: 2790 | Middle: 0 | Ring: 0 | Pinky: 0
I (78353) FLEX_DFPLAYER: Thumb: 0 | Index: 2786 | Middle: 0 | Ring: 0 | Pinky: 0
I (78653) FLEX_DFPLAYER: Thumb: 0 | Index: 2757 | Middle: 0 | Ring: 0 | Pinky: 0
I (78953) FLEX_DFPLAYER: Thumb: 0 | Index: 2890 | Middle: 0 | Ring: 0 | Pinky: 0
I (79253) FLEX_DFPLAYER: Thumb: 0 | Index: 2814 | Middle: 0 | Ring: 0 | Pinky: 0
I (79553) FLEX_DFPLAYER: Thumb: 0 | Index: 2684 | Middle: 0 | Ring: 0 | Pinky: 0
I (79853) FLEX_DFPLAYER: Thumb: 0 | Index: 2674 | Middle: 0 | Ring: 0 | Pinky: 0
